A:\Indus\Contour\IndusFont1840Out5\00004005.bmp,8,6,2,8,7,14,4,14,
A:\Indus\Contour\IndusFont1840Out5\00004006.bmp,7,6,1,10,6,15,4,16,
A:\Indus\Contour\IndusFont1840Out5\00004007.bmp,7,10,1,10,6,15,5,16,
A:\Indus\Contour\IndusFont1840Out5\00004008.bmp,5,4,1,6,4,16,7,14,
A:\Indus\Contour\IndusFont1840Out5\00004009.bmp,5,4,1,4,5,16,5,16,
A:\Indus\Contour\IndusFont1840Out5\00004010.bmp,5,4,1,4,5,16,3,14,
A:\Indus\Contour\IndusFont1840Out5\00004011.bmp,6,4,1,4,6,15,5,16,
A:\Indus\Contour\IndusFont1840Out5\00004012.bmp,7,6,1,6,6,10,7,14,
A:\Indus\Contour\IndusFont1840Out5\00004013.bmp,4,2,2,2,4,8,2,6,
A:\Indus\Contour\IndusFont1840Out5\00004014.bmp,4,4,2,2,4,6,4,4,
A:\Indus\Contour\IndusFont1840Out5\00004015.bmp,4,2,3,6,4,6,2,4,
A:\Indus\Contour\IndusFont1840Out5\00005000.bmp,3,2,1,2,5,4,4,6,
A:\Indus\Contour\IndusFont1840Out5\00005001.bmp,4,2,1,2,5,6,2,8,
A:\Indus\Contour\IndusFont1840Out5\00005002.bmp,4,2,1,6,4,14,2,12,
A:\Indus\Contour\IndusFont1840Out5\00005003.bmp,4,2,1,8,3,12,5,14,
A:\Indus\Contour\IndusFont1840Out5\00005004.bmp,5,8,1,2,4,10,3,12,
A:\Indus\Contour\IndusFont1840Out5\00005005.bmp,4,10,5,4,3,12,3,10,
A:\Indus\Contour\IndusFont1840Out5\00005006.bmp,4,8,4,2,3,10,5,12,
A:\Indus\Contour\IndusFont1840Out5\00005007.bmp,4,8,1,2,3,10,3,12,
A:\Indus\Contour\IndusFont1840Out5\00005008.bmp,4,6,3,2,4,10,3,14,
A:\Indus\Contour\IndusFont1840Out5\00005009.bmp,4,8,1,2,3,12,3,12,
A:\Indus\Contour\IndusFont1840Out5\00005010.bmp,5,8,2,10,4,12,4,8,
A:\Indus\Contour\IndusFont1840Out5\00005011.bmp,4,4,2,2,3,10,4,12,
A:\Indus\Contour\IndusFont1840Out5\00005012.bmp,4,4,1,6,5,14,2,16,
A:\Indus\Contour\IndusFont1840Out5\00005013.bmp,5,8,1,4,5,8,4,10,
A:\Indus\Contour\IndusFont1840Out5\00005014.bmp,4,6,1,4,4,10,3,6,
A:\Indus\Contour\IndusFont1840Out5\00005015.bmp,5,8,1,4,4,10,4,10,
